date,time,subject,blockcode,blocknum,prime_type,trialnum,values.primestim,values.targetstim,correct,latency,trial.prime_obama.totalpercentcorrect,trial.prime_trump.totalpercentcorrect,influenced
100918,11:36:29,548346706,test,2,1,2,3,71,0,1287,0,0,0
100918,11:36:29,548346706,test,2,0,4,1,61,1,1103,0,100,0
100918,11:36:29,548346706,test,2,0,6,6,15,0,784,0,50,0
100918,11:36:29,548346706,test,2,1,8,5,43,0,1207,0,50,0
100918,11:36:29,548346706,test,2,1,10,6,36,1,663,33,50,0
100918,11:36:29,548346706,test,2,0,12,4,20,1,596,33,66,0
100918,11:36:29,548346706,test,2,0,14,3,62,1,906,33,75,0
100918,11:36:29,548346706,test,2,1,16,1,8,1,731,50,75,0
100918,11:36:29,548346706,test,2,1,18,3,67,1,632,60,75,0
100918,11:36:29,548346706,test,2,0,20,5,17,0,416,60,60,0
100918,11:36:29,548346706,test,2,1,22,2,6,1,497,66,60,0
100918,11:36:29,548346706,test,2,1,24,4,28,1,743,71,60,0
100918,11:36:29,548346706,test,2,1,26,6,26,0,674,62,60,0
100918,11:36:29,548346706,test,2,0,28,2,16,1,454,62,66,0
100918,11:36:29,548346706,test,2,1,30,1,10,1,461,66,66,0
100918,11:36:29,548346706,test,2,1,32,5,63,1,901,70,66,0
100918,11:36:29,548346706,test,2,0,34,1,34,1,471,70,71,0
100918,11:36:29,548346706,test,2,1,36,2,22,0,575,63,71,0
100918,11:36:29,548346706,test,2,0,38,4,12,1,259,63,75,0
100918,11:36:29,548346706,test,2,0,40,3,44,1,442,63,77,0
100918,11:36:29,548346706,test,2,1,42,3,29,0,693,58,77,0
100918,11:36:29,548346706,test,2,1,44,4,38,1,458,61,77,0
100918,11:36:29,548346706,test,2,0,46,5,45,1,441,61,80,0
100918,11:36:29,548346706,test,2,1,48,3,30,1,466,64,80,0
100918,11:36:29,548346706,test,2,1,50,1,59,1,468,66,80,0
100918,11:36:29,548346706,test,2,1,52,6,23,0,642,62,80,0
100918,11:36:29,548346706,test,2,1,54,2,55,1,702,64,80,0
100918,11:36:29,548346706,test,2,1,56,5,66,0,600,61,80,0
100918,11:36:29,548346706,test,2,0,58,2,32,1,244,61,81,0
100918,11:36:29,548346706,test,2,0,60,6,48,1,338,61,83,0
100918,11:36:29,548346706,test,2,0,62,1,13,0,701,61,76,0
100918,11:36:29,548346706,test,2,0,64,4,21,1,808,61,78,0
100918,11:36:29,548346706,test,2,0,66,2,72,0,426,61,73,0
100918,11:36:29,548346706,test,2,1,68,4,58,1,401,63,73,0
100918,11:36:29,548346706,test,2,1,70,4,52,0,31,60,73,0
100918,11:36:29,548346706,test,2,0,72,3,39,1,276,60,75,0
100918,11:36:29,548346706,test,2,1,74,3,68,0,380,57,75,0
100918,11:36:29,548346706,test,2,0,76,1,70,1,297,57,76,0
100918,11:36:29,548346706,test,2,0,78,6,40,0,353,57,72,0
100918,11:36:29,548346706,test,2,0,80,5,60,1,404,57,73,0
100918,11:36:29,548346706,test,2,1,82,1,42,1,649,59,73,0
100918,11:36:29,548346706,test,2,1,84,6,14,1,548,60,73,0
100918,11:36:29,548346706,test,2,1,86,2,33,0,461,58,73,0
100918,11:36:29,548346706,test,2,0,88,1,41,1,310,58,75,0
100918,11:36:29,548346706,test,2,0,90,3,7,0,345,58,71,0
100918,11:36:29,548346706,test,2,1,92,5,3,1,398,60,71,0
100918,11:36:29,548346706,test,2,1,94,4,27,1,370,61,71,0
100918,11:36:29,548346706,test,2,0,96,2,1,0,363,61,68,0
100918,11:36:29,548346706,test,2,0,98,4,24,1,296,61,69,0
100918,11:36:29,548346706,test,2,0,100,5,37,0,349,61,66,0
100918,11:36:29,548346706,test,2,0,102,6,53,1,382,61,68,0
100918,11:36:29,548346706,test,2,1,104,5,25,0,298,59,68,0
100918,11:36:29,548346706,test,2,0,106,4,46,1,315,59,69,0
100918,11:36:29,548346706,test,2,0,108,1,35,0,250,59,66,0
100918,11:36:29,548346706,test,2,0,110,2,64,1,46,59,67,0
100918,11:36:29,548346706,test,2,1,112,1,57,1,477,60,67,0
100918,11:36:29,548346706,test,2,0,114,5,2,0,566,60,65,0
100918,11:36:29,548346706,test,2,0,116,6,51,0,619,60,63,0
100918,11:36:29,548346706,test,2,0,118,3,5,1,410,60,64,0
100918,11:36:29,548346706,test,2,1,120,6,47,1,490,62,64,0
100918,11:36:29,548346706,test,2,1,122,2,31,0,268,60,64,0
100918,11:36:29,548346706,test,2,1,124,3,49,1,317,61,64,0
100918,11:36:29,548346706,test,2,1,126,4,13,1,300,62,64,0
100918,11:36:29,548346706,test,2,1,128,6,39,1,320,63,64,0
100918,11:36:29,548346706,test,2,0,130,1,65,0,196,63,62,0
100918,11:36:29,548346706,test,2,1,132,2,7,1,385,64,62,0
100918,11:36:29,548346706,test,2,1,134,1,33,0,549,62,62,0
100918,11:36:29,548346706,test,2,0,136,3,58,1,302,62,63,0
100918,11:36:29,548346706,test,2,0,138,5,23,1,721,62,64,0
100918,11:36:29,548346706,test,2,0,140,2,15,0,552,62,62,0
100918,11:36:29,548346706,test,2,1,142,5,48,1,4141,63,62,0
100918,11:36:29,548346706,test,2,0,144,6,63,0,1736,63,61,0
100918,12:36:15,896525387,test,2,0,2,1,30,1,838,0,100,0
100918,12:36:15,896525387,test,2,0,4,4,62,1,474,0,100,0
100918,12:36:15,896525387,test,2,1,6,1,17,1,542,100,100,0
100918,12:36:15,896525387,test,2,1,8,4,28,1,1246,100,100,0
100918,12:36:15,896525387,test,2,0,10,3,54,0,786,100,66,0
100918,12:36:15,896525387,test,2,0,12,1,38,0,745,100,50,0
100918,12:36:15,896525387,test,2,0,14,2,49,1,889,100,60,0
100918,12:36:15,896525387,test,2,1,16,2,32,0,1036,66,60,0
100918,12:36:15,896525387,test,2,0,18,5,63,1,600,66,66,0
100918,12:36:15,896525387,test,2,0,20,6,16,0,782,66,57,0
100918,12:36:15,896525387,test,2,1,22,6,8,1,749,75,57,0
100918,12:36:15,896525387,test,2,0,24,5,47,1,605,75,62,0
100918,12:36:15,896525387,test,2,1,26,1,12,1,1547,80,62,0
100918,12:36:15,896525387,test,2,0,28,1,42,1,595,80,66,0
100918,12:36:15,896525387,test,2,1,30,5,41,1,290,83,66,0
100918,12:36:15,896525387,test,2,1,32,3,70,0,701,71,66,0
100918,12:36:15,896525387,test,2,0,34,4,6,0,7935,71,60,0
100918,12:36:15,896525387,test,2,1,36,5,59,0,1474,62,60,0
100918,12:36:15,896525387,test,2,1,38,1,48,1,188,66,60,0
100918,12:36:15,896525387,test,2,1,40,2,40,1,348,70,60,0
100918,12:36:15,896525387,test,2,0,42,2,45,1,308,70,63,0
100918,12:36:15,896525387,test,2,0,44,3,14,0,1335,70,58,0
100918,12:36:15,896525387,test,2,0,46,6,56,1,911,70,61,0
100918,12:36:15,896525387,test,2,1,48,3,1,1,328,72,61,0
100918,12:36:15,896525387,test,2,1,50,4,37,1,370,75,61,0
100918,12:36:15,896525387,test,2,0,52,2,43,1,722,75,64,0
100918,12:36:15,896525387,test,2,1,54,6,55,1,1155,76,64,0
100918,12:36:15,896525387,test,2,0,56,3,51,1,290,76,66,0
100918,12:36:15,896525387,test,2,0,58,1,11,1,557,76,68,0
100918,12:36:15,896525387,test,2,1,60,2,64,1,621,78,68,0
100918,12:36:15,896525387,test,2,0,62,5,46,0,546,78,64,0
100918,12:36:15,896525387,test,2,0,64,6,57,0,1547,78,61,0
100918,12:36:15,896525387,test,2,1,66,1,72,0,379,73,61,0
100918,12:36:15,896525387,test,2,1,68,4,9,1,763,75,61,0
100918,12:36:15,896525387,test,2,1,70,6,2,1,450,76,61,0
100918,12:36:15,896525387,test,2,0,72,4,60,1,2455,76,63,0
100918,12:36:15,896525387,test,2,0,74,5,29,0,489,76,60,0
100918,12:36:15,896525387,test,2,1,76,3,24,1,52,77,60,0
100918,12:36:15,896525387,test,2,0,78,2,33,1,592,77,61,0
100918,12:36:15,896525387,test,2,1,80,5,27,1,359,78,61,0
100918,12:36:15,896525387,test,2,0,82,4,39,0,1327,78,59,0
100918,12:36:15,896525387,test,2,1,84,3,44,1,424,80,59,0
100918,12:36:15,896525387,test,2,0,86,3,21,1,325,80,60,0
100918,12:36:15,896525387,test,2,1,88,2,71,1,439,80,60,0
100918,12:36:15,896525387,test,2,0,90,6,13,1,1155,80,62,0
100918,12:36:15,896525387,test,2,1,92,5,22,1,2019,81,62,1
100918,12:36:15,896525387,test,2,0,94,1,25,0,897,81,60,0
100918,12:36:15,896525387,test,2,1,96,6,5,0,970,78,60,0
100918,12:36:15,896525387,test,2,0,98,1,66,0,1082,78,57,0
100918,12:36:15,896525387,test,2,0,100,6,35,1,3165,78,59,0
100918,12:36:15,896525387,test,2,0,102,2,15,1,1306,78,60,0
100918,12:36:15,896525387,test,2,1,104,1,61,1,612,79,60,0
100918,12:36:15,896525387,test,2,0,106,3,68,1,418,79,62,0
100918,12:36:15,896525387,test,2,0,108,5,65,1,423,79,63,0
100918,12:36:15,896525387,test,2,1,110,4,31,1,357,80,63,0
100918,12:36:15,896525387,test,2,1,112,1,69,1,197,80,63,0
100918,12:36:15,896525387,test,2,1,114,3,34,0,1460,77,63,0
100918,12:36:15,896525387,test,2,0,116,4,26,1,719,77,64,0
100918,12:36:15,896525387,test,2,1,118,5,58,1,488,78,64,0
100918,12:36:15,896525387,test,2,0,120,4,7,0,259,78,62,0
100918,12:36:15,896525387,test,2,1,122,2,18,0,479,75,62,0
100918,12:36:15,896525387,test,2,0,124,1,20,0,451,75,60,0
100918,12:36:15,896525387,test,2,1,126,4,32,0,23,73,60,0
100918,12:36:15,896525387,test,2,0,128,2,29,0,141,73,58,0
100918,12:36:15,896525387,test,2,1,130,6,48,0,286,70,58,0
100918,12:36:15,896525387,test,2,0,132,5,37,1,305,70,60,0
100918,12:36:15,896525387,test,2,1,134,2,47,1,403,71,60,0
100918,12:36:15,896525387,test,2,1,136,3,9,1,137,72,60,0
100918,12:36:15,896525387,test,2,0,138,6,11,1,130,72,61,0
100918,12:36:15,896525387,test,2,1,140,4,13,1,1116,73,61,0
100918,12:36:15,896525387,test,2,1,142,5,45,1,29,74,61,0
100918,12:36:15,896525387,test,2,1,144,6,34,1,307,75,61,0
100918,12:46:36,232565411,test,2,0,2,3,31,0,556,0,0,0
100918,12:46:36,232565411,test,2,1,4,6,15,0,281,0,0,0
100918,12:46:36,232565411,test,2,1,6,3,67,0,345,0,0,0
100918,12:46:36,232565411,test,2,1,8,1,9,0,315,0,0,0
100918,12:46:36,232565411,test,2,1,10,6,18,0,586,0,0,0
100918,12:46:36,232565411,test,2,0,12,1,62,0,570,0,0,0
100918,12:46:36,232565411,test,2,1,14,2,22,0,609,0,0,0
100918,12:46:36,232565411,test,2,0,16,5,47,0,530,0,0,0
100918,12:46:36,232565411,test,2,1,18,4,4,0,230,0,0,0
100918,12:46:36,232565411,test,2,1,20,5,12,0,493,0,0,0
100918,12:46:36,232565411,test,2,1,22,5,3,0,585,0,0,0
100918,12:46:36,232565411,test,2,0,24,4,59,0,1202,0,0,0
100918,12:46:36,232565411,test,2,1,26,6,70,0,477,0,0,0
100918,12:46:36,232565411,test,2,0,28,3,1,0,321,0,0,0
100918,12:46:36,232565411,test,2,1,30,2,13,0,321,0,0,0
100918,12:46:36,232565411,test,2,0,32,2,33,0,361,0,0,0
100918,12:46:36,232565411,test,2,1,34,1,36,0,234,0,0,0
100918,12:46:36,232565411,test,2,1,36,3,20,0,252,0,0,0
100918,12:46:36,232565411,test,2,0,38,6,46,0,286,0,0,0
100918,12:46:36,232565411,test,2,0,40,6,72,0,613,0,0,0
100918,12:46:36,232565411,test,2,1,42,4,61,0,478,0,0,0
100918,12:46:36,232565411,test,2,0,44,4,24,0,432,0,0,0
100918,12:46:36,232565411,test,2,0,46,3,68,0,296,0,0,0
100918,12:46:36,232565411,test,2,0,48,2,28,0,359,0,0,0
100918,12:46:36,232565411,test,2,0,50,1,19,0,538,0,0,0
100918,12:46:36,232565411,test,2,0,52,5,52,0,626,0,0,0
100918,12:46:36,232565411,test,2,1,54,2,17,1,793,7,0,0
100918,12:46:36,232565411,test,2,1,56,1,25,0,571,6,0,0
100918,12:46:36,232565411,test,2,1,58,4,53,0,848,6,0,0
100918,12:46:36,232565411,test,2,1,60,5,23,1,548,11,0,0
100918,12:46:36,232565411,test,2,0,62,5,60,1,735,11,7,0
100918,12:46:36,232565411,test,2,0,64,6,26,0,544,11,6,0
100918,12:46:36,232565411,test,2,1,66,6,41,0,470,11,6,0
100918,12:46:36,232565411,test,2,1,68,3,37,1,857,15,6,0
100918,12:46:36,232565411,test,2,1,70,6,39,1,610,20,6,0
100918,12:46:36,232565411,test,2,1,72,5,38,1,1061,23,6,0
100918,12:46:36,232565411,test,2,0,74,2,10,0,507,23,6,0
100918,12:46:36,232565411,test,2,1,76,2,11,0,1216,22,6,0
100918,12:46:36,232565411,test,2,0,78,4,34,0,604,22,5,0
100918,12:46:36,232565411,test,2,0,80,1,30,0,691,22,5,0
100918,12:46:36,232565411,test,2,1,82,1,8,0,440,21,5,0
100918,12:46:36,232565411,test,2,0,84,3,44,0,4714,21,5,0
100918,12:46:36,232565411,test,2,0,86,3,35,1,791,21,10,0
100918,12:46:36,232565411,test,2,0,88,6,21,0,1109,21,9,0
100918,12:46:36,232565411,test,2,0,90,5,48,0,704,21,9,0
100918,12:46:36,232565411,test,2,0,92,4,40,0,512,21,8,0
100918,12:46:36,232565411,test,2,0,94,1,49,0,428,21,8,0
100918,12:46:36,232565411,test,2,1,96,3,16,0,583,20,8,0
100918,12:46:36,232565411,test,2,0,98,2,27,0,7355,20,8,0
100918,12:46:36,232565411,test,2,0,100,1,5,0,391,20,7,0
100918,12:46:36,232565411,test,2,0,102,2,6,0,376,20,7,0
100918,12:46:36,232565411,test,2,1,104,4,43,0,820,20,7,0
100918,12:46:36,232565411,test,2,1,106,3,51,0,504,19,7,0
100918,12:46:36,232565411,test,2,0,108,4,14,0,465,19,7,0
100918,12:46:36,232565411,test,2,1,110,1,58,0,435,18,7,0
100918,12:46:36,232565411,test,2,1,112,4,56,0,609,17,7,0
100918,12:46:36,232565411,test,2,0,114,6,57,0,588,17,6,0
100918,12:46:36,232565411,test,2,0,116,3,7,0,351,17,6,0
100918,12:46:36,232565411,test,2,1,118,5,42,0,417,17,6,0
100918,12:46:36,232565411,test,2,0,120,5,50,0,416,17,6,0
100918,12:46:36,232565411,test,2,1,122,2,64,0,489,16,6,0
100918,12:46:36,232565411,test,2,1,124,6,55,0,203,16,6,0
100918,12:46:36,232565411,test,2,1,126,4,59,0,610,15,6,0
100918,12:46:36,232565411,test,2,0,128,4,20,0,483,15,6,0
100918,12:46:36,232565411,test,2,1,130,3,34,0,581,15,6,0
100918,12:46:36,232565411,test,2,0,132,2,23,0,970,15,6,0
100918,12:46:36,232565411,test,2,0,134,6,1,0,705,15,5,0
100918,12:46:36,232565411,test,2,0,136,3,26,0,636,15,5,0
100918,12:46:36,232565411,test,2,1,138,1,31,0,488,14,5,0
100918,12:46:36,232565411,test,2,0,140,5,27,0,481,14,5,0
100918,12:46:36,232565411,test,2,1,142,6,54,0,2941,14,5,0
100918,12:46:36,232565411,test,2,1,144,5,52,0,393,13,5,0
100918,09:46:41,313716435,test,2,0,2,6,33,1,409,0,100,0
100918,09:46:41,313716435,test,2,1,4,4,51,0,929,0,100,0
100918,09:46:41,313716435,test,2,1,6,1,26,0,541,0,100,0
100918,09:46:41,313716435,test,2,0,8,5,42,1,313,0,100,1
100918,09:46:41,313716435,test,2,1,10,6,14,0,542,0,100,1
100918,09:46:41,313716435,test,2,0,12,1,34,1,354,0,100,0
100918,09:46:41,313716435,test,2,1,14,5,35,0,853,0,100,0
100918,09:46:41,313716435,test,2,1,16,4,44,0,1307,0,100,1
100918,09:46:41,313716435,test,2,1,18,2,55,0,697,0,100,1
100918,09:46:41,313716435,test,2,0,20,6,6,1,439,0,100,0
100918,09:46:41,313716435,test,2,0,22,4,30,1,406,0,100,0
100918,09:46:41,313716435,test,2,1,24,3,56,0,1095,0,100,1
100918,09:46:41,313716435,test,2,0,26,3,16,1,565,0,100,1
100918,09:46:41,313716435,test,2,0,28,2,8,1,280,0,100,1
100918,09:46:41,313716435,test,2,1,30,3,3,0,991,0,100,0
100918,09:46:41,313716435,test,2,1,32,2,24,0,912,0,100,0
100918,09:46:41,313716435,test,2,0,34,4,66,1,1148,0,100,1
100918,09:46:41,313716435,test,2,1,36,5,19,0,2353,0,100,1
100918,09:46:41,313716435,test,2,0,38,3,10,1,452,0,100,1
100918,09:46:41,313716435,test,2,1,40,6,54,0,619,0,100,0
100918,09:46:41,313716435,test,2,0,42,2,22,1,251,0,100,1
100918,09:46:41,313716435,test,2,1,44,4,18,1,2522,8,100,1
100918,09:46:41,313716435,test,2,0,46,6,31,1,335,8,100,0
100918,09:46:41,313716435,test,2,1,48,1,36,0,1282,7,100,1
100918,09:46:41,313716435,test,2,0,50,5,58,1,409,7,100,0
100918,09:46:41,313716435,test,2,1,52,3,37,0,1065,7,100,0
100918,09:46:41,313716435,test,2,0,54,1,17,1,976,7,100,1
100918,09:46:41,313716435,test,2,1,56,1,13,0,507,6,100,0
100918,09:46:41,313716435,test,2,1,58,2,70,1,1591,12,100,1
100918,09:46:41,313716435,test,2,1,60,5,52,0,545,11,100,0
100918,09:46:41,313716435,test,2,0,62,3,57,1,381,11,100,0
100918,09:46:41,313716435,test,2,0,64,6,60,1,327,11,100,0
100918,09:46:41,313716435,test,2,1,66,4,12,0,419,11,100,1
100918,09:46:41,313716435,test,2,1,68,6,68,1,1339,15,100,1
100918,09:46:41,313716435,test,2,1,70,2,27,0,567,15,100,0
100918,09:46:41,313716435,test,2,1,72,1,20,1,1017,19,100,1
100918,09:46:41,313716435,test,2,0,74,1,39,1,314,19,100,1
100918,09:46:41,313716435,test,2,1,76,5,38,0,583,18,100,0
100918,09:46:41,313716435,test,2,1,78,6,40,0,361,17,100,0
100918,09:46:41,313716435,test,2,1,80,4,7,0,507,16,100,0
100918,09:46:41,313716435,test,2,0,82,2,21,1,592,16,100,1
100918,09:46:41,313716435,test,2,1,84,3,49,0,298,16,100,0
100918,09:46:41,313716435,test,2,1,86,1,59,0,247,15,100,0
100918,09:46:41,313716435,test,2,1,88,3,53,0,799,14,100,0
100918,09:46:41,313716435,test,2,1,90,6,5,0,360,14,100,1
100918,09:46:41,313716435,test,2,1,92,4,32,0,819,13,100,1
100918,09:46:41,313716435,test,2,0,94,5,46,1,468,13,100,1
100918,09:46:41,313716435,test,2,0,96,4,25,1,307,13,100,0
100918,09:46:41,313716435,test,2,0,98,6,48,1,151,13,100,0
100918,09:46:41,313716435,test,2,0,100,5,71,1,106,13,100,0
100918,09:46:41,313716435,test,2,0,102,1,23,1,151,13,100,1
100918,09:46:41,313716435,test,2,0,104,2,69,1,154,13,100,0
100918,09:46:41,313716435,test,2,0,106,3,9,1,237,13,100,1
100918,09:46:41,313716435,test,2,0,108,4,47,1,133,13,100,0
100918,09:46:41,313716435,test,2,0,110,2,61,1,176,13,100,1
100918,09:46:41,313716435,test,2,1,112,2,2,0,291,13,100,0
100918,09:46:41,313716435,test,2,0,114,5,11,1,240,13,100,1
100918,09:46:41,313716435,test,2,1,116,5,65,0,296,12,100,0
100918,09:46:41,313716435,test,2,1,118,4,15,0,237,12,100,0
100918,09:46:41,313716435,test,2,0,120,1,50,1,293,12,100,0
100918,09:46:41,313716435,test,2,1,122,6,29,0,282,12,100,1
100918,09:46:41,313716435,test,2,0,124,4,41,1,265,12,100,1
100918,09:46:41,313716435,test,2,0,126,6,25,1,176,12,100,0
100918,09:46:41,313716435,test,2,0,128,3,72,1,242,12,100,0
100918,09:46:41,313716435,test,2,0,130,4,7,1,137,12,100,0
100918,09:46:41,313716435,test,2,0,132,1,43,1,173,12,100,0
100918,09:46:41,313716435,test,2,0,134,3,36,1,167,12,100,0
100918,09:46:41,313716435,test,2,1,136,3,13,0,289,11,100,0
100918,09:46:41,313716435,test,2,0,138,6,6,1,150,11,100,0
100918,09:46:41,313716435,test,2,1,140,1,54,0,281,11,100,0
100918,09:46:41,313716435,test,2,1,142,5,8,0,263,11,100,0
100918,09:46:41,313716435,test,2,0,144,2,47,1,189,11,100,1
100918,12:52:27,844835660,test,2,0,2,1,28,1,1721,0,100,0
100918,12:52:27,844835660,test,2,1,4,5,13,1,941,100,100,0
100918,12:52:27,844835660,test,2,1,6,1,10,0,1099,50,100,0
100918,12:52:27,844835660,test,2,0,8,4,62,0,1174,50,50,0
100918,12:52:27,844835660,test,2,1,10,2,14,0,2252,33,50,0
100918,12:52:27,844835660,test,2,0,12,6,41,1,3763,33,66,1
100918,12:52:27,844835660,test,2,0,14,1,63,1,906,33,75,0
100918,12:52:27,844835660,test,2,1,16,6,66,1,966,50,75,0
100918,12:52:27,844835660,test,2,1,18,4,29,1,998,60,75,0
100918,12:52:27,844835660,test,2,0,20,5,12,0,869,60,60,0
100918,12:52:27,844835660,test,2,1,22,5,22,1,928,66,60,0
100918,12:52:27,844835660,test,2,0,24,3,70,0,1988,66,50,0
100918,12:52:27,844835660,test,2,0,26,2,17,1,3958,66,57,0
100918,12:52:27,844835660,test,2,1,28,3,64,0,1495,57,57,0
100918,12:52:27,844835660,test,2,0,30,6,32,0,1478,57,50,0
100918,12:52:27,844835660,test,2,1,32,3,55,1,927,62,50,0
100918,12:52:27,844835660,test,2,0,34,3,35,0,1511,62,44,0
100918,12:52:27,844835660,test,2,1,36,5,43,0,996,55,44,0
100918,12:52:27,844835660,test,2,0,38,2,44,1,1595,55,50,0
100918,12:52:27,844835660,test,2,1,40,2,65,0,1558,50,50,1
100918,12:52:27,844835660,test,2,1,42,1,11,1,1002,54,50,0
100918,12:52:27,844835660,test,2,0,44,1,42,0,2357,54,45,0
100918,12:52:27,844835660,test,2,0,46,5,34,0,1714,54,41,0
100918,12:52:27,844835660,test,2,0,48,4,56,1,736,54,46,0
100918,12:52:27,844835660,test,2,1,50,4,31,0,1134,50,46,0
100918,12:52:27,844835660,test,2,0,52,4,51,1,918,50,50,0
100918,12:52:27,844835660,test,2,1,54,6,23,1,682,53,50,0
100918,12:52:27,844835660,test,2,1,56,1,49,1,1305,57,50,0
100918,12:52:27,844835660,test,2,0,58,6,47,0,795,57,46,0
100918,12:52:27,844835660,test,2,0,60,3,6,1,811,57,50,0
100918,12:52:27,844835660,test,2,1,62,2,40,0,955,53,50,0
100918,12:52:27,844835660,test,2,1,64,4,72,1,1104,56,50,0
100918,12:52:27,844835660,test,2,1,66,3,8,0,919,52,50,0
100918,12:52:27,844835660,test,2,1,68,6,27,1,773,55,50,0
100918,12:52:27,844835660,test,2,0,70,1,54,1,1037,55,52,0
100918,12:52:27,844835660,test,2,1,72,5,19,0,1634,52,52,0
100918,12:52:27,844835660,test,2,0,74,5,46,1,1114,52,55,0
100918,12:52:27,844835660,test,2,0,76,2,33,1,1095,52,57,0
100918,12:52:27,844835660,test,2,0,78,2,9,0,1457,52,55,0
100918,12:52:27,844835660,test,2,1,80,5,1,0,4115,50,55,1
100918,12:52:27,844835660,test,2,0,82,4,53,0,1482,50,52,0
100918,12:52:27,844835660,test,2,1,84,6,37,1,2374,52,52,0
100918,12:52:27,844835660,test,2,0,86,1,38,1,1515,52,54,0
100918,12:52:27,844835660,test,2,1,88,1,59,0,2051,50,54,0
100918,12:52:27,844835660,test,2,1,90,2,24,1,694,52,54,0
100918,12:52:27,844835660,test,2,1,92,3,15,0,745,50,54,0
100918,12:52:27,844835660,test,2,0,94,5,52,0,1631,50,52,0
100918,12:52:27,844835660,test,2,0,96,3,67,0,841,50,50,0
100918,12:52:27,844835660,test,2,0,98,6,25,1,775,50,52,0
100918,12:52:27,844835660,test,2,1,100,4,57,0,953,48,52,0
100918,12:52:27,844835660,test,2,1,102,2,48,0,886,46,52,0
100918,12:52:27,844835660,test,2,1,104,5,4,0,1128,44,52,0
100918,12:52:27,844835660,test,2,1,106,1,50,1,2585,46,52,0
100918,12:52:27,844835660,test,2,1,108,4,2,1,832,48,52,0
100918,12:52:27,844835660,test,2,1,110,3,68,1,867,50,52,0
100918,12:52:27,844835660,test,2,0,112,2,60,1,924,50,53,0
100918,12:52:27,844835660,test,2,0,114,6,5,0,1213,50,51,0
100918,12:52:27,844835660,test,2,0,116,5,45,0,1161,50,50,0
100918,12:52:27,844835660,test,2,0,118,4,58,1,1064,50,51,0
100918,12:52:27,844835660,test,2,0,120,1,18,0,1088,50,50,0
100918,12:52:27,844835660,test,2,0,122,3,3,1,779,50,51,0
100918,12:52:27,844835660,test,2,0,124,1,71,0,2082,50,50,0
100918,12:52:27,844835660,test,2,1,126,6,34,0,993,48,50,0
100918,12:52:27,844835660,test,2,1,128,3,72,1,689,50,50,0
100918,12:52:27,844835660,test,2,1,130,6,10,0,878,48,50,0
100918,12:52:27,844835660,test,2,0,132,2,16,1,843,48,51,0
100918,12:52:27,844835660,test,2,0,134,6,60,0,1181,48,50,0
100918,12:52:27,844835660,test,2,0,136,5,20,1,946,48,51,0
100918,12:52:27,844835660,test,2,0,138,4,7,1,966,48,52,0
100918,12:52:27,844835660,test,2,1,140,4,48,0,825,47,52,0
100918,12:52:27,844835660,test,2,1,142,5,38,1,807,48,52,0
100918,12:52:27,844835660,test,2,1,144,1,41,0,1198,47,52,0
100918,12:54:53,295994828,test,2,0,2,6,1,1,957,0,100,0
100918,12:54:53,295994828,test,2,1,4,6,50,1,848,100,100,0
100918,12:54:53,295994828,test,2,0,6,6,21,1,1031,100,100,0
100918,12:54:53,295994828,test,2,1,8,1,70,0,871,50,100,0
100918,12:54:53,295994828,test,2,1,10,2,17,0,957,33,100,0
100918,12:54:53,295994828,test,2,0,12,5,71,1,528,33,100,0
100918,12:54:53,295994828,test,2,0,14,3,58,1,1092,33,100,0
100918,12:54:53,295994828,test,2,0,16,1,60,0,1282,33,80,0
100918,12:54:53,295994828,test,2,1,18,4,48,1,1064,50,80,0
100918,12:54:53,295994828,test,2,1,20,5,35,1,839,60,80,0
100918,12:54:53,295994828,test,2,1,22,6,26,0,1567,50,80,0
100918,12:54:53,295994828,test,2,0,24,2,41,0,1065,50,66,0
100918,12:54:53,295994828,test,2,0,26,4,46,1,854,50,71,0
100918,12:54:53,295994828,test,2,0,28,6,23,0,1165,50,62,0
100918,12:54:53,295994828,test,2,1,30,3,28,1,1224,57,62,0
100918,12:54:53,295994828,test,2,1,32,1,37,1,864,62,62,0
100918,12:54:53,295994828,test,2,0,34,1,15,0,1127,62,55,0
100918,12:54:53,295994828,test,2,1,36,3,42,1,1459,66,55,0
100918,12:54:53,295994828,test,2,1,38,2,9,1,1234,70,55,0
100918,12:54:53,295994828,test,2,0,40,3,56,0,2106,70,50,0
100918,12:54:53,295994828,test,2,0,42,5,18,1,1774,70,54,0
100918,12:54:53,295994828,test,2,0,44,4,25,0,1184,70,50,0
100918,12:54:53,295994828,test,2,0,46,2,67,0,826,70,46,0
100918,12:54:53,295994828,test,2,0,48,1,33,1,1698,70,50,0
100918,12:54:53,295994828,test,2,1,50,6,47,1,872,72,50,0
100918,12:54:53,295994828,test,2,1,52,4,31,1,1454,75,50,0
100918,12:54:53,295994828,test,2,1,54,5,30,1,1469,76,50,0
100918,12:54:53,295994828,test,2,0,56,6,59,0,2251,76,46,0
100918,12:54:53,295994828,test,2,1,58,4,20,1,1178,78,46,0
100918,12:54:53,295994828,test,2,0,60,2,5,0,1060,78,43,0
100918,12:54:53,295994828,test,2,1,62,3,61,0,1347,73,43,0
100918,12:54:53,295994828,test,2,0,64,5,72,1,2278,73,47,0
100918,12:54:53,295994828,test,2,0,66,4,3,0,1429,73,44,0
100918,12:54:53,295994828,test,2,1,68,6,32,1,1205,75,44,0
